epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.472,0.61537,4.1552,1.03253,0.47127,0.16481,0.22952,0.15244,0.98216,571.055,1.57079,0.0019661,0.0019661,0.0823051
2,620.191,0.6096,2.89286,1.0143,0.26098,0.27298,0.19085,0.13641,1.16785,210.084,2.11223,0.00396567,0.00396567,0.0643047
3,920.128,0.60483,2.91679,1.03033,0.71596,0.23691,0.2821,0.19747,1.35019,11.7883,1.84462,0.00596351,0.00596351,0.0463025
4,1242.77,0.56345,2.7099,0.99593,0.61275,0.02353,0.05662,0.02149,1.81127,15.1275,2.27081,0.00795832,0.00795832,0.0282973
5,1541.97,0.5967,2.71512,1.02725,0.00991,0.05125,0.00883,0.0021,2.00293,14.7909,2.42941,0.0099488,0.0099488,0.0102878
6,1861.54,0.57643,2.53579,1.01523,0.03179,0.06231,0.0423,0.02901,2.18759,19.2977,2.60553,0.00997288,0.00997288,0.00997288
7,2168.53,0.54453,2.30344,0.99495,0.78912,0.53504,0.65763,0.55325,0.63827,6.16254,1.06297,0.00996097,0.00996097,0.00996097
8,2488.39,0.5517,2.32608,0.99223,0.11842,0.17862,0.17017,0.1163,1.60503,13.4604,1.91389,0.0099469,0.0099469,0.0099469
9,2822.46,0.51856,2.23098,0.97695,0.94107,0.78962,0.82695,0.67022,0.67911,2.67898,1.04822,0.00993068,0.00993068,0.00993068
10,3135.32,0.51193,2.20676,0.97037,0.97347,0.77708,0.81614,0.69603,0.61256,2.86937,1.01887,0.00991232,0.00991232,0.00991232
11,3449.41,0.51507,2.17955,0.97605,0.73913,0.66865,0.68546,0.55565,0.72317,4.18069,1.07183,0.00989183,0.00989183,0.00989183
12,3759.05,0.51819,2.20292,0.98933,0.91796,0.61834,0.69828,0.62661,0.5372,4.61844,1.01708,0.00986922,0.00986922,0.00986922
13,4068.35,0.487,1.97747,0.95018,0.96034,0.79699,0.83733,0.67121,0.73906,2.87459,1.0587,0.00984449,0.00984449,0.00984449
14,4396.91,0.47196,2.03687,0.95561,0.85049,0.45799,0.57971,0.48035,0.80967,6.76104,1.18455,0.00981765,0.00981765,0.00981765
15,4705.29,0.41679,1.77666,0.92777,0.97404,0.80173,0.82999,0.75976,0.46912,2.07337,0.9821,0.00978873,0.00978873,0.00978873
16,5016.1,0.42677,1.82766,0.9477,0.98813,0.82008,0.83738,0.76653,0.46181,2.02789,0.96655,0.00975773,0.00975773,0.00975773
