epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,652.585,2.54916,3.39122,1.93708,0.10287,0.00286,0.00077,0.00023,3.25427,4.37277,2.39312,0.0007228,0.0007228,0.0007228
44,673.238,2.51811,3.29216,1.92837,0.20246,0.00429,0.00085,0.00026,3.23935,4.47996,2.39579,0.0007162,0.0007162,0.0007162
45,689.592,2.62229,3.25122,1.97388,0.30164,0.00286,0.00123,0.00038,3.23539,4.50794,2.37696,0.0007096,0.0007096,0.0007096
46,704.987,2.52869,3.25448,1.87572,0.54154,0.00143,0.00213,0.00065,3.1924,4.47932,2.32094,0.000703,0.000703,0.000703
47,719.605,2.55787,3.22221,1.95562,0.54154,0.00143,0.00213,0.00065,3.1924,4.47932,2.32094,0.0006964,0.0006964,0.0006964
48,734.392,2.43663,3.20552,1.87995,0.5216,0.00143,0.00149,0.00031,3.11987,4.44436,2.26946,0.0006898,0.0006898,0.0006898
49,749.943,2.5645,3.17696,1.92742,0.10275,0.00429,0.00101,0.00026,3.10613,4.43083,2.25663,0.0006832,0.0006832,0.0006832
50,765.082,2.38815,3.05575,1.8741,0.20201,0.00429,0.00091,0.00025,3.12941,4.43728,2.25459,0.0006766,0.0006766,0.0006766
51,780.059,2.54522,3.1197,1.87638,0.20201,0.00429,0.00091,0.00025,3.12941,4.43728,2.25459,0.00067,0.00067,0.00067
52,794.945,2.44895,3.14218,1.8841,0.20271,0.00571,0.00096,0.00024,3.16319,4.46634,2.27818,0.0006634,0.0006634,0.0006634
53,809.633,2.54147,3.14785,1.91241,0.52266,0.00143,0.00108,0.00024,3.20925,4.43884,2.30859,0.0006568,0.0006568,0.0006568
54,823.14,2.4847,3.19346,1.91312,0.6331,0.00143,0.00135,0.00026,3.23955,4.38482,2.3307,0.0006502,0.0006502,0.0006502
55,836.446,2.4219,3.24854,1.87604,0.6331,0.00143,0.00135,0.00026,3.23955,4.38482,2.3307,0.0006436,0.0006436,0.0006436
56,851.204,2.41364,3.07776,1.86417,0.72188,0.00143,0.00132,0.00027,3.27357,4.32999,2.3651,0.000637,0.000637,0.000637
57,865.762,2.27269,3.00283,1.78879,0.00089,0.03286,0.00076,0.00026,3.28743,4.29228,2.37302,0.0006304,0.0006304,0.0006304
58,880.324,2.29977,2.89542,1.79432,0.60603,0.00143,0.00086,0.00029,3.25986,4.27723,2.35662,0.0006238,0.0006238,0.0006238
59,894.297,2.41177,2.99173,1.83081,0.60603,0.00143,0.00086,0.00029,3.25986,4.27723,2.35662,0.0006172,0.0006172,0.0006172
60,908.712,2.36106,2.99165,1.84158,0.50205,0.00143,0.00083,0.00027,3.28171,4.27464,2.37592,0.0006106,0.0006106,0.0006106
