epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.835,2.11045,11.3481,2.28186,0.10094,0.00769,0.00014,3e-05,2.41694,1460.84,8.81975,0.00196,0.00196,0.08236
2,541.36,2.00854,9.93771,2.19146,0.0002,0.01143,0.00011,3e-05,2.57201,37.3835,3.864,0.00395957,0.00395957,0.0643596
3,773.334,1.92205,9.38964,2.14734,0.00046,0.01571,0.00025,6e-05,2.56324,64.9205,3.95132,0.00595741,0.00595741,0.0463574
4,1004.36,1.88514,8.79182,2.14854,0.40227,0.00143,0.00011,3e-05,2.48224,159.314,3.12711,0.00795222,0.00795222,0.0283522
5,1233.43,1.80315,8.1452,2.06967,0.01363,0.03107,0.00783,0.00444,2.45864,17.2039,3.00137,0.00994271,0.00994271,0.0103427
6,1463.12,1.7639,7.55774,2.02589,0.10971,0.0125,0.00275,0.00042,2.4047,17.6799,2.86699,0.00997288,0.00997288,0.00997288
7,1696.77,1.7068,7.20113,1.9753,0.10074,0.00143,0.0003,0.00011,2.75389,15.9679,3.3949,0.00996097,0.00996097,0.00996097
8,1933.13,1.66062,6.90472,1.95143,0.5006,0.00143,0.00013,2e-05,2.75445,19.8416,4.54816,0.0099469,0.0099469,0.0099469
9,2164.85,1.66073,6.90796,1.95659,0.50453,0.00286,0.00111,0.00033,2.30435,16.4438,2.69441,0.00993068,0.00993068,0.00993068
10,2392.88,1.66686,6.7583,1.9667,0.00024,0.00571,0.00019,4e-05,2.48414,15.8414,2.86055,0.00991232,0.00991232,0.00991232
11,2622.48,1.5858,6.26085,1.89973,0.50106,0.00143,0.00015,2e-05,2.52406,18.0235,2.95591,0.00989183,0.00989183,0.00989183
12,2849.32,1.53403,5.99558,1.84206,0.98852,0.00143,0.00181,0.0002,2.90212,15.9617,4.03995,0.00986922,0.00986922,0.00986922
13,3078.39,1.46284,5.55265,1.77478,0.55128,0.0125,0.01366,0.00545,2.65348,15.4687,3.35328,0.00984449,0.00984449,0.00984449
14,3308.15,1.44766,5.38428,1.7652,0.20669,0.00286,0.00212,0.00029,2.70473,15.6926,3.41812,0.00981765,0.00981765,0.00981765
15,3536.33,1.39774,5.14897,1.72702,0.00212,0.00286,0.00096,0.00026,2.38166,15.0966,2.7756,0.00978873,0.00978873,0.00978873
16,3763.03,1.36718,4.97931,1.67489,0.52996,0.00286,0.00149,0.00045,2.51671,15.4087,2.97633,0.00975773,0.00975773,0.00975773
17,3993.49,1.34105,4.70955,1.65458,0.5339,0.00286,0.00147,0.00037,2.30093,15.2597,2.7455,0.00972466,0.00972466,0.00972466
18,4220.71,1.34432,4.66617,1.6567,0.00197,0.05321,0.0016,0.00037,2.30378,15.124,2.66548,0.00968955,0.00968955,0.00968955
19,4449.44,1.31546,4.59343,1.63539,0.40932,0.00286,0.00232,0.00081,2.3622,15.4105,2.84309,0.00965239,0.00965239,0.00965239
20,4679.58,1.37048,4.77201,1.6612,0.00291,0.04769,0.00337,0.00067,2.25175,16.0452,2.62498,0.00961322,0.00961322,0.00961322
21,4908.43,1.36485,4.55732,1.66667,0.1018,0.00286,0.00104,0.00022,2.356,16.0179,2.73562,0.00957205,0.00957205,0.00957205
22,5138.14,1.27574,4.33773,1.59689,0.20364,0.00429,0.00088,0.00018,2.4096,16.5967,2.775,0.00952889,0.00952889,0.00952889
23,5366.31,1.22846,4.18665,1.55096,0.00205,0.04714,0.0018,0.00036,2.42909,15.4676,2.87547,0.00948377,0.00948377,0.00948377
24,5595.71,1.20654,4.1121,1.53629,0.94046,0.00143,0.00114,0.00013,2.55076,16.9667,3.23526,0.00943671,0.00943671,0.00943671
25,5827.36,1.17693,4.00458,1.51444,0.00205,0.04071,0.0025,0.00036,2.28859,17.0386,2.71221,0.00938772,0.00938772,0.00938772
26,6054.05,1.17083,3.95264,1.50838,0.10242,0.00571,0.00064,0.00017,2.33648,16.3649,2.70827,0.00933683,0.00933683,0.00933683
27,6284.71,1.15849,3.89885,1.48175,0.00368,0.06179,0.0027,0.00048,2.34354,16.2194,2.64182,0.00928405,0.00928405,0.00928405
28,6512.45,1.16739,3.90701,1.49515,0.20321,0.00429,0.001,0.00029,2.45897,15.7721,3.0826,0.00922942,0.00922942,0.00922942
29,6741.61,1.16531,3.78909,1.49925,0.00372,0.00429,0.0012,0.00026,2.39621,16.5636,2.91732,0.00917296,0.00917296,0.00917296
30,6971.42,1.1449,3.75766,1.48627,0.00262,0.01071,0.00073,0.00021,2.32176,15.4217,2.61313,0.00911469,0.00911469,0.00911469
31,7203.23,1.08696,3.60225,1.42524,0.30427,0.00143,0.0005,9e-05,2.4151,18.647,2.73111,0.00905463,0.00905463,0.00905463
32,7432.57,1.10024,3.64362,1.44164,0.10158,0.00286,0.00044,0.00011,2.44886,16.0998,2.8937,0.00899282,0.00899282,0.00899282
33,7660.82,1.07347,3.44198,1.41613,0.1063,0.00429,0.00082,0.00022,2.40268,15.8989,2.9695,0.00892928,0.00892928,0.00892928
34,7890.53,1.07163,3.48205,1.41657,0.10692,0.00429,0.00094,0.00021,2.42368,15.7793,2.93839,0.00886404,0.00886404,0.00886404
35,8121.61,1.06994,3.42943,1.40443,0.23718,0.02286,0.00878,0.00113,2.39263,16.728,2.88705,0.00879713,0.00879713,0.00879713
36,8352.1,1.08024,3.37758,1.41806,0.00079,0.00929,0.00088,0.0002,2.35174,16.8086,2.67097,0.00872857,0.00872857,0.00872857
37,8591.17,1.08919,3.46521,1.44209,0.00066,0.01786,0.00039,0.00012,2.65074,16.1465,3.43431,0.00865839,0.00865839,0.00865839
38,8833.27,1.1084,3.58575,1.44498,0.00183,0.00714,0.00165,0.00023,2.34872,16.574,2.78942,0.00858664,0.00858664,0.00858664
39,9075.59,1.05189,3.3685,1.39106,0.10497,0.00397,0.00122,0.00037,2.40406,15.9654,2.78547,0.00851333,0.00851333,0.00851333
40,9321.82,1.03156,3.28619,1.38739,0.00559,0.00429,0.00188,0.00065,2.29546,16.068,2.62749,0.00843851,0.00843851,0.00843851
41,9561.48,1.01639,3.18591,1.35275,0.00297,0.00429,0.00098,0.00022,2.34957,15.4455,2.74661,0.0083622,0.0083622,0.0083622
