epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9804.3,1.01401,3.18843,1.3679,0.00497,0.05679,0.00391,0.00061,2.33022,16.0628,2.71993,0.00828443,0.00828443,0.00828443
43,10046.2,1.00788,3.13466,1.33833,0.00371,0.05662,0.00315,0.00078,2.39606,17.564,2.83973,0.00820525,0.00820525,0.00820525
44,10285.5,0.97489,3.06954,1.33992,0.00336,0.02536,0.00257,0.0003,2.31205,15.3006,2.77071,0.00812468,0.00812468,0.00812468
45,10518.2,1.00081,3.09333,1.34948,0.01096,0.00714,0.00316,0.0007,2.34197,16.4378,2.78759,0.00804277,0.00804277,0.00804277
46,10748.7,1.00053,3.10681,1.35147,0.00041,0.01143,0.00024,7e-05,2.48237,16.0268,3.12267,0.00795954,0.00795954,0.00795954
47,10977.5,0.98363,3.0579,1.33939,0.11215,0.00714,0.00217,0.00052,2.37242,18.4026,2.86948,0.00787503,0.00787503,0.00787503
48,11207.8,0.99111,3.08509,1.34254,0.00815,0.00429,0.00206,0.0005,2.26463,17.8614,2.7204,0.00778929,0.00778929,0.00778929
49,11438.8,1.00528,3.10025,1.35481,0.00214,0.03143,0.00174,0.0003,2.36397,17.8489,2.74151,0.00770234,0.00770234,0.00770234
50,11669.2,0.97495,2.9602,1.33695,0.10237,0.00286,0.00076,0.00022,2.32871,17.4862,2.7216,0.00761423,0.00761423,0.00761423
51,11899.8,0.99199,3.03216,1.34128,0.00391,0.01071,0.00192,0.00062,2.29515,16.3241,2.68608,0.007525,0.007525,0.007525
52,12133,0.9615,2.97957,1.32135,0.00241,0.04857,0.0016,0.00027,2.27799,15.9913,2.62633,0.00743468,0.00743468,0.00743468
53,12363.8,0.93489,2.8362,1.29937,0.00167,0.04286,0.00157,0.00024,2.35471,15.7647,2.85171,0.00734332,0.00734332,0.00734332
54,12592.3,0.94283,2.84999,1.28911,0.11155,0.02,0.00351,0.00049,2.39117,14.949,2.93762,0.00725094,0.00725094,0.00725094
55,12821.1,0.92423,2.82658,1.28636,0.00311,0.00286,0.00087,0.00026,2.29921,18.5555,2.76699,0.00715761,0.00715761,0.00715761
56,13052.1,0.91448,2.77661,1.26699,0.00149,0.00286,0.00041,0.00013,2.31498,16.8137,2.59335,0.00706335,0.00706335,0.00706335
57,13282.4,0.9367,2.80383,1.29658,0.10466,0.00286,0.00062,0.00014,2.43029,17.8727,2.73576,0.0069682,0.0069682,0.0069682
58,13510.9,0.90528,2.71849,1.27681,0.00455,0.01,0.00107,0.00023,2.3828,16.5449,2.88253,0.00687222,0.00687222,0.00687222
59,13741.8,0.90773,2.7084,1.28108,0.10594,0.00143,0.0005,0.00011,2.39225,18.6608,2.83327,0.00677543,0.00677543,0.00677543
60,13971.1,0.93601,2.81276,1.2832,0.00267,0.00429,0.0007,0.00026,2.36403,17.2779,2.65737,0.00667789,0.00667789,0.00667789
61,14201.7,0.92455,2.79055,1.28135,0.10293,0.00714,0.00161,0.00038,2.4879,18.7904,3.04149,0.00657963,0.00657963,0.00657963
62,14432,0.89619,2.66272,1.26672,0.00608,0.00571,0.00145,0.00036,2.42403,17.018,2.86672,0.00648071,0.00648071,0.00648071
63,14661.4,0.95227,2.7427,1.29539,0.13051,0.02,0.00869,0.00249,2.46267,15.4675,2.9844,0.00638115,0.00638115,0.00638115
